Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,In stock?,Stock,Sale price,Regular price,Categories,Tags,Images
simple,TRY-041-1NWO,Pleated Tailored Chinos,1,0,visible,High-waisted wide-leg trousers in premium fabric.,"High-waisted wide-leg trousers in premium fabric.<br><br>Designed for versatile everyday looks, this trousers combines style with functionality. Perfect for your collection and easy to integrate.<br><br>Test this look with <strong>TryLoom</strong> - see how it fits before you buy.",1,95,,495125.00,"Smart Casual, Trousers","trousers, smart-casual",https://assets.gettryloom.com/woocommerce-dummy-data-generator/41.webp
simple,TRY-043-VH1S,Slim-Fit Cropped Wool Trousers,1,0,visible,Tailored chinos with pleated front and smart silhouette.,"Tailored chinos with pleated front and smart silhouette.<br><br>Designed for versatile everyday looks, this trousers combines style with functionality. Perfect for your collection and easy to integrate.<br><br>Test this look with <strong>TryLoom</strong> - see how it fits before you buy.",1,48,,368185.00,"Smart Casual, Trousers","trousers, smart-casual",https://assets.gettryloom.com/woocommerce-dummy-data-generator/43.webp
simple,TRY-045-J7KZ,Relaxed-Fit Linen Blend Trousers,1,0,visible,Slim-fit cropped trousers with refined tailoring.,"Slim-fit cropped trousers with refined tailoring.<br><br>Designed for versatile everyday looks, this trousers combines style with functionality. Perfect for your collection and easy to integrate.<br><br>Test this look with <strong>TryLoom</strong> - see how it fits before you buy.",1,20,,557185.00,"Smart Casual, Trousers","trousers, smart-casual",https://assets.gettryloom.com/woocommerce-dummy-data-generator/45.webp
simple,TRY-047-H2BB,High-Waisted Wide-Leg Trousers,1,0,visible,High-waisted wide-leg trousers in premium fabric.,"High-waisted wide-leg trousers in premium fabric.<br><br>Designed for versatile everyday looks, this trousers combines style with functionality. Perfect for your collection and easy to integrate.<br><br>Test this look with <strong>TryLoom</strong> - see how it fits before you buy.",1,35,,477465.00,"Smart Casual, Trousers","trousers, smart-casual",https://assets.gettryloom.com/woocommerce-dummy-data-generator/47.webp
simple,TRY-049-5H54,Black Straight-Leg Office Pants,1,0,visible,Tailored chinos with pleated front and smart silhouette.,"Tailored chinos with pleated front and smart silhouette.<br><br>Designed for versatile everyday looks, this trousers combines style with functionality. Perfect for your collection and easy to integrate.<br><br>Test this look with <strong>TryLoom</strong> - see how it fits before you buy.",1,41,,1824150.00,"Smart Casual, Trousers","trousers, smart-casual",https://assets.gettryloom.com/woocommerce-dummy-data-generator/49.webp
simple,TRY-051-HT0D,Unstructured Oversized Blazer,1,0,visible,Minimalist knit blazer with clean lines and comfortable fit.,"Minimalist knit blazer with clean lines and comfortable fit.<br><br>Designed for versatile everyday looks, this outerwear combines style with functionality. Perfect for your collection and easy to integrate.<br><br>Test this look with <strong>TryLoom</strong> - see how it fits before you buy.",1,66,,1537185.00,"Smart Casual, Outerwear","outerwear, blazer",https://assets.gettryloom.com/woocommerce-dummy-data-generator/51.webp
simple,TRY-053-54WP,Tailored Double-Breasted Jacket,1,0,visible,Lightweight linen blazer perfect for transitional weather.,"Lightweight linen blazer perfect for transitional weather.<br><br>Designed for versatile everyday looks, this outerwear combines style with functionality. Perfect for your collection and easy to integrate.<br><br>Test this look with <strong>TryLoom</strong> - see how it fits before you buy.",1,52,,1228170.00,"Smart Casual, Outerwear","outerwear, blazer",https://assets.gettryloom.com/woocommerce-dummy-data-generator/53.webp
simple,TRY-055-BWGU,Collarless Blazer,1,0,visible,"Unstructured blazer with a relaxed, modern silhouette.","Unstructured blazer with a relaxed, modern silhouette.<br><br>Designed for versatile everyday looks, this outerwear combines style with functionality. Perfect for your collection and easy to integrate.<br><br>Test this look with <strong>TryLoom</strong> - see how it fits before you buy.",1,52,,1293250.00,"Smart Casual, Outerwear","outerwear, blazer",https://assets.gettryloom.com/woocommerce-dummy-data-generator/55.webp
simple,TRY-057-9WOZ,Casual Linen Blazer,1,0,visible,Minimalist knit blazer with clean lines and comfortable fit.,"Minimalist knit blazer with clean lines and comfortable fit.<br><br>Designed for versatile everyday looks, this outerwear combines style with functionality. Perfect for your collection and easy to integrate.<br><br>Test this look with <strong>TryLoom</strong> - see how it fits before you buy.",1,56,,752390.00,"Smart Casual, Outerwear","outerwear, blazer",https://assets.gettryloom.com/woocommerce-dummy-data-generator/57.webp
simple,TRY-059-8L7G,Minimalist Knit Blazer,1,0,visible,Lightweight linen blazer perfect for transitional weather.,"Lightweight linen blazer perfect for transitional weather.<br><br>Designed for versatile everyday looks, this outerwear combines style with functionality. Perfect for your collection and easy to integrate.<br><br>Test this look with <strong>TryLoom</strong> - see how it fits before you buy.",1,86,,1707910.00,"Smart Casual, Outerwear","outerwear, blazer",https://assets.gettryloom.com/woocommerce-dummy-data-generator/59.webp
simple,TRY-061-FDZ3,Classic Double-Breasted Trench Coat,1,0,visible,Classic double-breasted trench in timeless cotton gabardine.,"Classic double-breasted trench in timeless cotton gabardine.<br><br>Designed for refined seasonal style, this trench coats combines style with functionality. Perfect for your collection and easy to integrate.<br><br>Test this look with <strong>TryLoom</strong> - see how it fits before you buy.",1,10,,1672095.00,"High-End Outerwear, Trench Coats","outerwear, blazer, trench-coat",https://assets.gettryloom.com/woocommerce-dummy-data-generator/61.webp
simple,TRY-063-U4S3,Oversized Modern Trench Coat,1,0,visible,Modern oversized trench with contemporary proportions.,"Modern oversized trench with contemporary proportions.<br><br>Designed for refined seasonal style, this trench coats combines style with functionality. Perfect for your collection and easy to integrate.<br><br>Test this look with <strong>TryLoom</strong> - see how it fits before you buy.",1,98,,1295025.00,"High-End Outerwear, Trench Coats","outerwear, blazer, trench-coat",https://assets.gettryloom.com/woocommerce-dummy-data-generator/63.webp
simple,TRY-065-9HPN,Lightweight Fluid Trench Coat,1,0,visible,Belted trench coat with fluid drape and sophisticated silhouette.,"Belted trench coat with fluid drape and sophisticated silhouette.<br><br>Designed for refined seasonal style, this trench coats combines style with functionality. Perfect for your collection and easy to integrate.<br><br>Test this look with <strong>TryLoom</strong> - see how it fits before you buy.",1,44,,1437990.00,"High-End Outerwear, Trench Coats","outerwear, blazer, trench-coat",https://assets.gettryloom.com/woocommerce-dummy-data-generator/65.webp
simple,TRY-067-EAHN,Long Belted Trench Coat,1,0,visible,Classic double-breasted trench in timeless cotton gabardine.,"Classic double-breasted trench in timeless cotton gabardine.<br><br>Designed for refined seasonal style, this trench coats combines style with functionality. Perfect for your collection and easy to integrate.<br><br>Test this look with <strong>TryLoom</strong> - see how it fits before you buy.",1,85,,1813915.00,"High-End Outerwear, Trench Coats","outerwear, blazer, trench-coat",https://assets.gettryloom.com/woocommerce-dummy-data-generator/67.webp
simple,TRY-069-BOJW,Tailored Trench Coat,1,0,visible,Modern oversized trench with contemporary proportions.,"Modern oversized trench with contemporary proportions.<br><br>Designed for refined seasonal style, this trench coats combines style with functionality. Perfect for your collection and easy to integrate.<br><br>Test this look with <strong>TryLoom</strong> - see how it fits before you buy.",1,68,,367210.00,"High-End Outerwear, Trench Coats","outerwear, blazer, trench-coat",https://assets.gettryloom.com/woocommerce-dummy-data-generator/69.webp
simple,TRY-071-ZQ2B,Structured Single-Breasted Wool Overcoat,1,0,visible,Heavyweight double-breasted coat in premium camel wool.,"Heavyweight double-breasted coat in premium camel wool.<br><br>Designed for refined seasonal style, this wool overcoats combines style with functionality. Perfect for your collection and easy to integrate.<br><br>Test this look with <strong>TryLoom</strong> - see how it fits before you buy.",1,20,,1509240.00,"High-End Outerwear, Wool Overcoats","outerwear, blazer, overcoat, wool",https://assets.gettryloom.com/woocommerce-dummy-data-generator/71.webp
simple,TRY-073-M4MO,Minimalist Wool Blend Coat,1,1,visible,Structured wool overcoat with refined single-breasted cut.,"Structured wool overcoat with refined single-breasted cut.<br><br>Designed for refined seasonal style, this wool overcoats combines style with functionality. Perfect for your collection and easy to integrate.<br><br>Test this look with <strong>TryLoom</strong> - see how it fits before you buy.",1,39,,1074560.00,"High-End Outerwear, Wool Overcoats","outerwear, blazer, overcoat, wool",https://assets.gettryloom.com/woocommerce-dummy-data-generator/73.webp
simple,TRY-075-9A2K,Tailored Wool Overcoat,1,0,visible,"Minimalist wool blend coat with clean, timeless design.","Minimalist wool blend coat with clean, timeless design.<br><br>Designed for refined seasonal style, this wool overcoats combines style with functionality. Perfect for your collection and easy to integrate.<br><br>Test this look with <strong>TryLoom</strong> - see how it fits before you buy.",1,51,,309870.00,"High-End Outerwear, Wool Overcoats","outerwear, blazer, overcoat, wool",https://assets.gettryloom.com/woocommerce-dummy-data-generator/75.webp
simple,TRY-077-GZMW,Heavyweight Double-Breasted Wool Coat,1,0,visible,Heavyweight double-breasted coat in premium camel wool.,"Heavyweight double-breasted coat in premium camel wool.<br><br>Designed for refined seasonal style, this wool overcoats combines style with functionality. Perfect for your collection and easy to integrate.<br><br>Test this look with <strong>TryLoom</strong> - see how it fits before you buy.",1,87,,1522820.00,"High-End Outerwear, Wool Overcoats","outerwear, blazer, overcoat, wool",https://assets.gettryloom.com/woocommerce-dummy-data-generator/77.webp
simple,TRY-079-CYXY,Refined Cashmere-Wool Overcoat,1,0,visible,Structured wool overcoat with refined single-breasted cut.,"Structured wool overcoat with refined single-breasted cut.<br><br>Designed for refined seasonal style, this wool overcoats combines style with functionality. Perfect for your collection and easy to integrate.<br><br>Test this look with <strong>TryLoom</strong> - see how it fits before you buy.",1,54,,377825.00,"High-End Outerwear, Wool Overcoats","outerwear, blazer, overcoat, wool",https://assets.gettryloom.com/woocommerce-dummy-data-generator/79.webp
simple,TRY-081-M5TF,Cropped Matte Finish Puffer Jacket,1,0,visible,"Technical down jacket with sleek, modern design.","Technical down jacket with sleek, modern design.<br><br>Designed for refined seasonal style, this puffer jackets combines style with functionality. Perfect for your collection and easy to integrate.<br><br>Test this look with <strong>TryLoom</strong> - see how it fits before you buy.",1,49,,845455.00,"High-End Outerwear, Puffer Jackets","outerwear, blazer, puffer, jacket",https://assets.gettryloom.com/woocommerce-dummy-data-generator/81.webp
simple,TRY-083-0DDB,Vibrant Technical Puffer Jacket,1,0,visible,Oversized hooded puffer with voluminous silhouette.,"Oversized hooded puffer with voluminous silhouette.<br><br>Designed for refined seasonal style, this puffer jackets combines style with functionality. Perfect for your collection and easy to integrate.<br><br>Test this look with <strong>TryLoom</strong> - see how it fits before you buy.",1,61,,1673015.00,"High-End Outerwear, Puffer Jackets","outerwear, blazer, puffer, jacket",https://assets.gettryloom.com/woocommerce-dummy-data-generator/83.webp
simple,TRY-085-SWP0,Voluminous Puffer Jacket,1,0,visible,Cropped matte puffer with high-performance down insulation.,"Cropped matte puffer with high-performance down insulation.<br><br>Designed for refined seasonal style, this puffer jackets combines style with functionality. Perfect for your collection and easy to integrate.<br><br>Test this look with <strong>TryLoom</strong> - see how it fits before you buy.",1,78,,244310.00,"High-End Outerwear, Puffer Jackets","outerwear, blazer, puffer, jacket",https://assets.gettryloom.com/woocommerce-dummy-data-generator/85.webp
simple,TRY-087-P5SO,Oversized Hooded Puffer,1,0,visible,"Technical down jacket with sleek, modern design.","Technical down jacket with sleek, modern design.<br><br>Designed for refined seasonal style, this puffer jackets combines style with functionality. Perfect for your collection and easy to integrate.<br><br>Test this look with <strong>TryLoom</strong> - see how it fits before you buy.",1,54,,632205.00,"High-End Outerwear, Puffer Jackets","outerwear, blazer, puffer, jacket",https://assets.gettryloom.com/woocommerce-dummy-data-generator/87.webp
simple,TRY-089-G0TZ,Technical Down Jacket,1,0,visible,Oversized hooded puffer with voluminous silhouette.,"Oversized hooded puffer with voluminous silhouette.<br><br>Designed for refined seasonal style, this puffer jackets combines style with functionality. Perfect for your collection and easy to integrate.<br><br>Test this look with <strong>TryLoom</strong> - see how it fits before you buy.",1,42,,1867625.00,"High-End Outerwear, Puffer Jackets","outerwear, blazer, puffer, jacket",https://assets.gettryloom.com/woocommerce-dummy-data-generator/89.webp
simple,TRY-091-KDWY,Boxy Fit Vintage Wash Denim Jacket,1,0,visible,Boxy vintage wash denim jacket with authentic worn character.,"Boxy vintage wash denim jacket with authentic worn character.<br><br>Designed for refined seasonal style, this denim jackets combines style with functionality. Perfect for your collection and easy to integrate.<br><br>Test this look with <strong>TryLoom</strong> - see how it fits before you buy.",1,40,,1449325.00,"High-End Outerwear, Denim Jackets","denim, jeans, outerwear, blazer, denim-jacket",https://assets.gettryloom.com/woocommerce-dummy-data-generator/91.webp
simple,TRY-093-K8GQ,Vintage Distressed Leather Moto Jacket,1,0,visible,Black leather jacket with modern fitted cut.,"Black leather jacket with modern fitted cut.<br><br>Designed for refined seasonal style, this leather jackets combines style with functionality. Perfect for your collection and easy to integrate.<br><br>Test this look with <strong>TryLoom</strong> - see how it fits before you buy.",1,34,,345860.00,"High-End Outerwear, Leather Jackets","outerwear, blazer, leather-jacket",https://assets.gettryloom.com/woocommerce-dummy-data-generator/93.webp
simple,TRY-095-WNSI,Classic Blue Wash Denim Jacket,1,0,visible,Classic trucker jacket in dark raw denim.,"Classic trucker jacket in dark raw denim.<br><br>Designed for refined seasonal style, this denim jackets combines style with functionality. Perfect for your collection and easy to integrate.<br><br>Test this look with <strong>TryLoom</strong> - see how it fits before you buy.",1,86,,685150.00,"High-End Outerwear, Denim Jackets","denim, jeans, outerwear, blazer, denim-jacket",https://assets.gettryloom.com/woocommerce-dummy-data-generator/95.webp
simple,TRY-097-BLU4,Sleek Tailored Brown Leather Blazer,1,1,visible,Premium biker-style leather jacket with sleek silhouette.,"Premium biker-style leather jacket with sleek silhouette.<br><br>Designed for refined seasonal style, this leather jackets combines style with functionality. Perfect for your collection and easy to integrate.<br><br>Test this look with <strong>TryLoom</strong> - see how it fits before you buy.",1,53,,289270.00,"High-End Outerwear, Leather Jackets","outerwear, blazer, leather-jacket",https://assets.gettryloom.com/woocommerce-dummy-data-generator/97.webp
simple,TRY-099-9S18,Oversized Black Denim Jacket,1,0,visible,Distressed white denim jacket with unique washed finish.,"Distressed white denim jacket with unique washed finish.<br><br>Designed for refined seasonal style, this denim jackets combines style with functionality. Perfect for your collection and easy to integrate.<br><br>Test this look with <strong>TryLoom</strong> - see how it fits before you buy.",1,38,,1412885.00,"High-End Outerwear, Denim Jackets","denim, jeans, outerwear, blazer, denim-jacket",https://assets.gettryloom.com/woocommerce-dummy-data-generator/99.webp
simple,TRY-101-RP3A,High-Waisted Performance Leggings,1,0,visible,Ribbed technical leggings perfect for yoga and training.,"Ribbed technical leggings perfect for yoga and training.<br><br>Designed for your active lifestyle, this leggings combines style with functionality. Perfect for your collection and easy to integrate.<br><br>Test this look with <strong>TryLoom</strong> - see how it fits before you buy.",1,52,,1798785.00,"Activewear & Athleisure, Leggings","leggings, activewear",https://assets.gettryloom.com/woocommerce-dummy-data-generator/1.webp
simple,TRY-103-5GY8,Ribbed High-Waisted Leggings,1,0,visible,High-waisted performance leggings with seamless compression fit.,"High-waisted performance leggings with seamless compression fit.<br><br>Designed for your active lifestyle, this leggings combines style with functionality. Perfect for your collection and easy to integrate.<br><br>Test this look with <strong>TryLoom</strong> - see how it fits before you buy.",1,25,,1227875.00,"Activewear & Athleisure, Leggings","leggings, activewear",https://assets.gettryloom.com/woocommerce-dummy-data-generator/3.webp
simple,TRY-105-69WD,Seamless Navy Performance Leggings,1,1,visible,Smooth compression leggings with moisture-wicking fabric.,"Smooth compression leggings with moisture-wicking fabric.<br><br>Designed for your active lifestyle, this leggings combines style with functionality. Perfect for your collection and easy to integrate.<br><br>Test this look with <strong>TryLoom</strong> - see how it fits before you buy.",1,38,,978565.00,"Activewear & Athleisure, Leggings","leggings, activewear",https://assets.gettryloom.com/woocommerce-dummy-data-generator/5.webp
simple,TRY-107-WY2S,Seamless Compression Leggings,1,0,visible,Ribbed technical leggings perfect for yoga and training.,"Ribbed technical leggings perfect for yoga and training.<br><br>Designed for your active lifestyle, this leggings combines style with functionality. Perfect for your collection and easy to integrate.<br><br>Test this look with <strong>TryLoom</strong> - see how it fits before you buy.",1,99,,1871960.00,"Activewear & Athleisure, Leggings","leggings, activewear",https://assets.gettryloom.com/woocommerce-dummy-data-generator/7.webp
simple,TRY-109-SWT1,Form-Fitting Yoga Leggings,1,0,visible,High-waisted performance leggings with seamless compression fit.,"High-waisted performance leggings with seamless compression fit.<br><br>Designed for your active lifestyle, this leggings combines style with functionality. Perfect for your collection and easy to integrate.<br><br>Test this look with <strong>TryLoom</strong> - see how it fits before you buy.",1,72,,251815.00,"Activewear & Athleisure, Leggings","leggings, activewear",https://assets.gettryloom.com/woocommerce-dummy-data-generator/9.webp
simple,TRY-111-WYW8,Form-Fitting Sports Crop Top,1,1,visible,Technical performance tee with sweat-wicking properties.,"Technical performance tee with sweat-wicking properties.<br><br>Designed for your active lifestyle, this sports tops combines style with functionality. Perfect for your collection and easy to integrate.<br><br>Test this look with <strong>TryLoom</strong> - see how it fits before you buy.",1,99,,1945215.00,"Activewear & Athleisure, Sports Tops","sports-top, activewear",https://assets.gettryloom.com/woocommerce-dummy-data-generator/11.webp
simple,TRY-113-PBW4,Short-Sleeve Performance Tee,1,0,visible,Racerback sports top designed for maximum movement.,"Racerback sports top designed for maximum movement.<br><br>Designed for your active lifestyle, this sports tops combines style with functionality. Perfect for your collection and easy to integrate.<br><br>Test this look with <strong>TryLoom</strong> - see how it fits before you buy.",1,27,,1718185.00,"Activewear & Athleisure, Sports Tops","sports-top, activewear",https://assets.gettryloom.com/woocommerce-dummy-data-generator/13.webp
simple,TRY-115-1VS0,High-Neck Zip-Up Sports Top,1,0,visible,Form-fitting crop top with breathable performance fabric.,"Form-fitting crop top with breathable performance fabric.<br><br>Designed for your active lifestyle, this sports tops combines style with functionality. Perfect for your collection and easy to integrate.<br><br>Test this look with <strong>TryLoom</strong> - see how it fits before you buy.",1,51,,1773640.00,"Activewear & Athleisure, Sports Tops","sports-top, activewear",https://assets.gettryloom.com/woocommerce-dummy-data-generator/15.webp
simple,TRY-117-YOYG,Racerback Sports Top,1,0,visible,Technical performance tee with sweat-wicking properties.,"Technical performance tee with sweat-wicking properties.<br><br>Designed for your active lifestyle, this sports tops combines style with functionality. Perfect for your collection and easy to integrate.<br><br>Test this look with <strong>TryLoom</strong> - see how it fits before you buy.",1,29,,1053740.00,"Activewear & Athleisure, Sports Tops","sports-top, activewear",https://assets.gettryloom.com/woocommerce-dummy-data-generator/17.webp
simple,TRY-119-C9SW,Long-Sleeve Crop Performance Top,1,0,visible,Racerback sports top designed for maximum movement.,"Racerback sports top designed for maximum movement.<br><br>Designed for your active lifestyle, this sports tops combines style with functionality. Perfect for your collection and easy to integrate.<br><br>Test this look with <strong>TryLoom</strong> - see how it fits before you buy.",1,94,,1274470.00,"Activewear & Athleisure, Sports Tops","sports-top, activewear",https://assets.gettryloom.com/woocommerce-dummy-data-generator/19.webp
